nazov,Počet a podiel platných hlasov odovzdaných pre politické subjekty,
Jednotky,Počet ,
Strana,SNS,
,,
,2020,2016
Bratislava I,479,1148
Bratislava II, 1 386,3739
Bratislava III,894,2335
Bratislava IV, 1 298,3509
Bratislava V, 1 475,4140
Malacky,857,2378
Pezinok, 1 035,2738
Senec,969,2544
Dunajská Streda,299,685
Galanta,959,2483
Piešťany, 1 051,1902
Senica,822,2917
Skalica,776,1956
Hlohovec,913,1243
Trnava, 1 955,5288
Bánovce nad Bebravou,920,2128
Myjava,438,3463
Nové Mesto nad Váhom, 1 030,1415
Považská Bystrica, 1 935,2988
Púchov, 1 093,2421
Partizánske,986,4562
Prievidza, 2 802,7805
Ilava, 1 382,2706
Trenčín, 2 498,5955
Komárno,397,1106
Levice, 1 395,3529
Nitra, 2 969,7683
Zlaté Moravce, 1 264,4363
Nové Zámky, 1 965,1399
Šaľa,525,4408
Topoľčany, 2 038,2610
Čadca, 2 175,2606
Dolný Kubín,749,5511
Liptovský Mikuláš, 1 969,2043
Martin, 2 148,3026
Turčianske Teplice,405,5311
Námestovo, 1 699,5651
Tvrdošín, 1 474,3491
Ružomberok, 1 428,3550
Bytča,970,1027
Kysucké Nové Mesto, 1 239,2904
Žilina, 4 292,10628
Banská Bystrica, 1 578,5311
Brezno, 1 046,944
Lučenec,787,3178
Poltár,560,2193
Revúca,631,1287
Rimavská Sobota,812,2244
Veľký Krtíš,511,1296
Detva,752,850
Krupina,406,2214
Zvolen, 1 162,1284
Banská Štiavnica,277,3502
Žarnovica,489,1416
Žiar nad Hronom,857,2663
Bardejov, 1 347,3087
Humenné, 1 373,2843
Medzilaborce,257,1837
Snina,789,1286
Kežmarok,904,469
Levoča,503,4354
Poprad, 1 449,6459
Prešov, 2 802,2095
Sabinov, 1 008,1843
Stará Ľubovňa, 1 121,1955
Stropkov,497,932
Svidník,980,1412
Vranov nad Topľou, 1 448,2909
Košice I,651,1076
Košice II,738,1765
Košice III,327,2040
Košice IV,603,891
Košice - okolie, 1 280,1596
Michalovce, 1 690,3023
Sobrance,550,3168
Rožňava,841,2066
Gelnica,466,1178
Spišská Nová Ves, 1 409,3662
Trebišov,903,1744
